id,unit_no,size,nett_price,spa_price,comm,sale_id,project_id,created_at,updated_at
121,A-13-03,1219,701590.0,825400.0,11211.41,,1,2017-04-29 09:10:33.481409,2017-04-29 09:10:33.502848
403,B-25-06,1525,798575.0,939500.0,12761.2285,,1,2017-05-14 12:30:21.207203,2017-05-14 12:30:21.207203
414,Q-15-07,850,283360.0,308000.0,2663.584,,20,2017-05-17 10:12:07.376621,2017-05-17 10:12:07.481374
122,A-10-07,1219,712470.0,838200.0,11385.27,,1,2017-04-29 09:10:33.615054,2017-04-29 09:10:33.634869
430,S1-25-9,630,554326.0,615918.0,2605.3322,,24,2017-05-21 14:56:20.859083,2017-05-21 14:56:20.918919
123,L29-01,947,469620.0,521800.0,4414.43,,10,2017-04-29 09:10:33.752241,2017-04-29 09:10:33.772317
439,11-11,1600,800000.0,1000000.0,11280.0,,8,2017-05-23 15:49:14.145254,2017-05-23 15:49:14.170186
440,B-13-6,1000,459000.0,510000.0,3451.68,,6,2017-05-23 16:05:58.716317,2017-05-23 16:05:58.735941
124,B-12-8,1000,464000.0,515000.0,3480.12,,6,2017-04-29 09:10:33.887678,2017-04-29 09:10:33.909712
446,N32-6,1155,689040.0,783000.0,9715.464,,9,2017-05-25 14:40:44.131159,2017-05-25 14:40:44.14657
125,B-28-8,1000,469000.0,469000.0,3517.62,,6,2017-04-29 09:10:34.191282,2017-04-29 09:10:34.208688
452,B-26-8,1000,469000.0,520000.0,3526.88,,6,2017-05-27 09:55:25.651359,2017-05-27 09:55:25.674869
487,Q11-20,850,293480.0,319000.0,2758.712,,20,2017-05-31 15:46:04.755164,2017-05-31 15:46:04.782724
126,B-19-7,1000,467600.0,518600.0,3507.12,,6,2017-04-29 09:10:34.57899,2017-04-29 09:10:34.59726
509,C-28-7,957,979200.0,1088000.0,23011.2,,3,2017-06-04 10:58:26.296629,2017-06-04 10:58:26.309764
127,L15-02,1335,613620.0,681800.0,5768.03,,10,2017-04-29 09:10:34.720757,2017-04-29 09:10:34.738265
128,J-27-03,1215,1040007.2,1300009.0,14664.1,,8,2017-04-29 09:10:34.845332,2017-04-29 09:10:34.868048
129,J-32-03,1215,1047084.8,1308856.0,14763.9,,8,2017-04-29 09:10:34.983717,2017-04-29 09:10:35.00798
130,D-33-10,1403,798065.0,938900.0,12753.08,,1,2017-04-29 09:10:35.213613,2017-04-29 09:10:35.238036
131,A-6-2,1050,482600.0,536200.0,3619.63,,6,2017-04-29 09:10:35.572378,2017-04-29 09:10:35.597722
132,L 21-03,947,476820.0,529800.0,4482.11,,10,2017-04-29 09:10:35.815017,2017-04-29 09:10:35.839289
133,L30-03,947,471742.0,523800.0,4434.37,,10,2017-04-29 09:10:35.957812,2017-04-29 09:10:35.978184
134,N-3-6,1155,648560.0,737000.0,9144.7,,9,2017-04-29 09:10:36.1708,2017-04-29 09:10:36.190351
135,A-22-08,500,279450.0,310500.0,3152.2,,14,2017-04-29 09:10:36.335379,2017-04-29 09:10:36.363503
144,B-22-13A,1000,479200.0,530200.0,3603.584,,6,2017-04-29 09:10:38.638496,2017-05-06 14:50:50.723824
375,Q-16-15,850,273240.0,297000.0,2568.456,,20,2017-05-07 10:23:29.356462,2017-05-07 10:23:29.374288
136,B-12-11,1050,497200.0,550750.0,3729.13,,6,2017-04-29 09:10:36.469906,2017-04-29 09:10:36.49465
399,B-5-8,1000,459000.0,510000.0,3451.68,,6,2017-05-14 04:27:28.408845,2017-05-14 04:27:28.424969
137,A-17-8,1000,466800.0,466800.0,3501.12,,6,2017-04-29 09:10:36.725495,2017-04-29 09:10:36.749341
404,K-40-01,2065,1819176.0,2273970.0,25650.3816,,8,2017-05-15 06:07:48.695673,2017-05-15 06:07:48.695673
410,B-3-7,1000,459000.0,510000.0,3451.68,,6,2017-05-15 06:42:21.946617,2017-05-15 06:42:21.958276
138,A-18-7,1050,490500.0,544000.0,3678.88,,6,2017-04-29 09:10:37.005014,2017-04-29 09:10:37.077358
415,Q-16-23,850,273240.0,297000.0,2568.456,,20,2017-05-17 10:16:30.555154,2017-05-17 10:16:30.577423
139,A-6-3,1000,459700.0,510700.0,3447.87,,6,2017-04-29 09:10:37.388595,2017-04-29 09:10:37.410743
432,S1-25-9,835,554326.0,615918.0,2605.3322,,24,2017-05-21 15:01:12.110546,2017-05-21 15:01:12.110546
441,Q-16-15,850,273240.0,297000.0,2568.456,,20,2017-05-24 02:10:21.018345,2017-05-24 02:10:21.018345
140,L 17-03A,1335,586532.0,683800.0,5513.4,,10,2017-04-29 09:10:37.518905,2017-04-29 09:10:37.54777
